"ds_codigo","ds_nome","topography","topography_color","venues","venues_color","railway","railway_color","bus","bus_color","taxi","taxi_color","parking","parking_color","final_score","final_score_color"
74,"SAO MIGUEL",0.776944893593733,"#AAFF00",1,"#00FF00",0.144972380038629,"#FF4700",0.407821229050279,"#FFB900",0,"#FF0000",0.794289798821,"#9DFF00",0.52067138358394,"#FFD700"
75,"SAO RAFAEL",0.337267293905355,"#FFA600",0,"#FF0000",0,"#FF0000",0.0698324022346369,"#FF2200",0,"#FF0000",0,"#FF0000",0.0678499493566654,"#FF2100"
76,"SAPOPEMBA",0.527773263753919,"#FFD900",0.757142857142,"#B9FF00",0,"#FF0000",0.273743016759777,"#FF8700",0,"#FF0000",0,"#FF0000",0.259776522942616,"#FF8000"
77,"SAUDE",0.697576563211645,"#E7FF00",0.693073593074,"#EAFF00",0.375097207158677,"#FFB000",0.268156424581006,"#FF8400",0.589008365202355,"#FFEA00",0.780235919739,"#A8FF00",0.567191345494447,"#FFE400"
78,"SE",0.848923569614379,"#73FF00",0.657554265518,"#FFFC00",1,"#00FF00",0.76536312849162,"#B3FF00",1,"#00FF00",0.988204590269,"#09FF00",0.876674258982166,"#5EFF00"
79,"SOCORRO",0.923124255033008,"#3AFF00",0.67738095238,"#F6FF00",0.105063539107667,"#FF3400",0.315642458100559,"#FF9C00",0.180635722244836,"#FF5900",0.657422510537,"#FFFC00",0.476544906233845,"#FFCB00"
80,"TATUAPE",0.915765128053097,"#40FF00",0.77055470845,"#AFFF00",0.282088294693386,"#FF8B00",0.494413407821229,"#FFD000",0.250067641237086,"#FF7B00",0.80805154397,"#92FF00",0.586823454037466,"#FFE900"
81,"TREMEMBE",0.003648588377691,"#FF0100",1,"#00FF00",1.46240018194834e-10,"#FF0000",0.181564245810056,"#FF5900",0.167374992548461,"#FF5200",0,"#FF0000",0.225431304480408,"#FF6F00"
82,"TUCURUVI",0.558802707774741,"#FFE100",0.855952380952,"#6EFF00",0.216012543690785,"#FF6A00",0.226256983240223,"#FF6F00",0.279137590373794,"#FF8A00",0,"#FF0000",0.356027034338591,"#FFAB00"
83,"VILA ANDRADE",0.376866832192996,"#FFB000",0.777395706146,"#AAFF00",0.161317757451381,"#FF4F00",0.206703910614525,"#FF6600",0.301057005289729,"#FF9500",0,"#FF0000",0.303890201949105,"#FF9600"
84,"VILA CURUCA",0.721964626515443,"#D4FF00",0,"#FF0000",0.0691201406867336,"#FF2200",0.282122905027933,"#FF8B00",0.0959541465289508,"#FF2F00",0,"#FF0000",0.19486030312651,"#FF6000"
